2023-02-13 20:31:53 | ERROR    | Error on main market performance, invalid index to scalar variable. | main | market_performers.py:134
2023-02-13 20:32:40 | ERROR    | Error on main market performance, invalid index to scalar variable. | main | market_performers.py:135
2023-02-13 21:28:45 | ERROR    | Error on main market performance, unsupported operand type(s) for -: 'str' and 'str' | main | market_performers.py:135
2023-02-13 21:33:25 | ERROR    | Error on main market performance, unsupported operand type(s) for /: 'str' and 'str' | main | market_performers.py:135
2023-02-15 20:16:38 | ERROR    | Error on main market performance, MomentumRank._performance_calculations() got an unexpected keyword argument 'min_vol_USD' | main | market_performers.py:71
2023-02-15 20:19:57 | ERROR    | Error on main market performance, 'BTC'       | main | market_performers.py:73
2023-02-15 20:20:05 | ERROR    | Error on main market performance, 'BTC/USDT'  | main | market_performers.py:73
2023-02-15 20:20:28 | ERROR    | Error on main market performance, 'BTC/USDT'  | main | market_performers.py:74
2023-02-15 20:21:06 | ERROR    | Error on main market performance, 'BTC/USDT'  | main | market_performers.py:74
2023-02-15 21:08:50 | ERROR    | Error on main market performance, PerformanceCalculation.performance_calculations() missing 3 required positional arguments: 'days_windows', 'min_vol_usd', and 'min_vol_btc' | main | market_performers.py:70
2023-02-15 21:35:31 | ERROR    | Error on main market performance, -1          | main | market_performers.py:72
2023-02-17 20:01:05 | ERROR    | Error on main market performance, 'avg_vol_fast' | main | market_performers.py:72
2023-02-17 20:28:33 | ERROR    | Error on main full history, object of type 'int' has no len() | main | get_full_history.py:94
2023-02-17 20:28:34 | ERROR    | Error on main full history, object of type 'int' has no len() | main | get_full_history.py:94
2023-02-17 20:28:34 | ERROR    | Error on main full history, object of type 'int' has no len() | main | get_full_history.py:94
2023-02-17 20:28:34 | ERROR    | Error on main full history, object of type 'int' has no len() | main | get_full_history.py:94
2023-02-17 20:28:34 | ERROR    | Error on main full history, object of type 'int' has no len() | main | get_full_history.py:94
2023-02-17 20:33:48 | ERROR    | Error on main market performance, 'avg_vol_fast' | main | market_performers.py:73
2023-02-28 07:59:02 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:69
2023-02-28 07:59:41 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:69
2023-02-28 08:13:32 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:69
2023-02-28 08:18:20 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:68
2023-02-28 08:26:42 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:69
2023-02-28 08:26:54 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:69
2023-02-28 08:28:21 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:69
2023-02-28 08:29:15 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:69
2023-02-28 08:29:24 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'pairs_list' | main | market_performers.py:69
2023-02-28 08:38:02 | ERROR    | Error on main market performance, 'PerformanceRankAnalysis' object has no attribute 'QUANTILE_DROP' | main | market_performers.py:69
2023-03-01 08:59:56 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:57 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:57 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:57 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:57 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:57 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:57 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:58 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:59 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:59 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:59 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:59 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:59 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:59 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:59 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 08:59:59 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:00 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:01 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:02 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:02 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:02 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:02 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
2023-03-01 09:00:02 | ERROR    | Error on main full history, list index out of range | main | get_full_history.py:98
